Date,Open,High,Low,Close,Adj Close,Volume
2012-06-01,28.889999,33.450001,25.520000,31.100000,31.100000,667910500
2012-07-01,31.250000,32.880001,21.610001,21.709999,21.709999,520189700
2012-08-01,21.500000,22.450001,18.030001,18.059999,18.059999,1151944900
2012-09-01,18.080000,23.370001,17.549999,21.660000,21.660000,1058643700
2012-10-01,22.080000,24.250000,18.799999,21.110001,21.110001,1100938300
2012-11-01,21.080000,28.000000,18.870001,28.000000,28.000000,1527490200
2012-12-01,28.000000,28.879999,25.150000,26.620001,26.620001,1191832200
2013-01-01,27.440001,32.509998,27.420000,30.980000,30.980000,1675851700
2013-02-01,31.010000,31.020000,26.340000,27.250000,27.250000,957639800
2013-03-01,27.049999,28.680000,24.719999,25.580000,25.580000,727180500
2013-04-01,25.629999,28.100000,25.150000,27.770000,27.770000,738509200
2013-05-01,27.850000,29.070000,23.260000,24.350000,24.350000,982094800
2013-06-01,24.270000,25.190001,22.670000,24.879999,24.879999,788331500
2013-07-01,24.969999,38.310001,24.150000,36.799999,36.799999,1438017100
2013-08-01,37.299999,42.259998,36.020000,41.290001,41.290001,1344994100
2013-09-01,41.840000,51.599998,41.439999,50.230000,50.230000,1583083800
2013-10-01,49.970001,54.830002,45.259998,50.209999,50.209999,2032635000
2013-11-01,50.849998,52.090000,43.549999,47.009998,47.009998,1357311900
2013-12-01,46.900002,58.580002,46.259998,54.650002,54.650002,1517533200
2014-01-01,54.830002,63.369999,51.849998,62.570000,62.570000,1294714800
2014-02-01,63.029999,71.440002,60.700001,68.459999,68.459999,1110774100
2014-03-01,66.959999,72.589996,57.980000,60.240002,60.240002,1255440000
2014-04-01,60.459999,63.910000,54.660000,59.779999,59.779999,1883965100
2014-05-01,60.430000,64.300003,56.259998,63.299999,63.299999,1120155500
2014-06-01,63.230000,68.000000,61.790001,67.290001,67.290001,863389800
2014-07-01,67.580002,76.739998,62.209999,72.650002,72.650002,1028365000
2014-08-01,72.220001,75.989998,71.550003,74.820000,74.820000,590763600
2014-09-01,75.010002,79.709999,73.070000,79.040001,79.040001,720995800
2014-10-01,78.779999,81.160004,70.320000,74.989998,74.989998,1083643000
2014-11-01,75.470001,78.269997,72.510002,77.699997,77.699997,490965300
2014-12-01,77.260002,82.169998,74.400002,78.019997,78.019997,534527100
2015-01-01,78.580002,79.250000,73.540001,75.910004,75.910004,546210700
2015-02-01,76.110001,81.370003,73.449997,78.970001,78.970001,475148700
2015-03-01,79.000000,86.070000,77.260002,82.220001,82.220001,575349900
2015-04-01,82.500000,85.589996,78.320000,78.769997,78.769997,542124600
2015-05-01,79.239998,81.849998,76.790001,79.190002,79.190002,421870700
2015-06-01,79.300003,89.400002,78.660004,85.769997,85.769997,537740300
2015-07-01,86.769997,99.239998,85.230003,94.010002,94.010002,790781000
2015-08-01,93.529999,98.739998,72.000000,89.430000,89.430000,709884600
2015-09-01,86.849998,96.489998,85.720001,89.900002,89.900002,635399800
2015-10-01,90.050003,105.120003,88.360001,101.970001,101.970001,571590400
2015-11-01,101.720001,110.650002,100.470001,104.239998,104.239998,547232800
2015-12-01,104.830002,107.919998,101.459999,104.660004,104.660004,440304100
2016-01-01,101.949997,112.839996,89.370003,112.209999,112.209999,792709100
2016-02-01,112.269997,117.589996,96.820000,106.919998,106.919998,874152500
2016-03-01,107.830002,116.989998,104.400002,114.099998,114.099998,521458900
2016-04-01,113.750000,120.790001,106.309998,117.580002,117.580002,741613800
2016-05-01,117.830002,121.080002,115.879997,118.809998,118.809998,460544200
2016-06-01,118.500000,119.440002,108.230003,114.279999,114.279999,450876100
2016-07-01,114.199997,128.330002,112.970001,123.940002,123.940002,470108600
2016-08-01,123.849998,126.730003,122.070000,126.120003,126.120003,365670900
2016-09-01,126.379997,131.979996,125.599998,128.270004,128.270004,376518100
2016-10-01,128.380005,133.500000,126.750000,130.990005,130.990005,313284400
2016-11-01,131.410004,131.940002,113.550003,118.419998,118.419998,644052900
2016-12-01,118.379997,122.500000,114.000000,115.050003,115.050003,408728400
2017-01-01,116.029999,133.139999,115.510002,130.320007,130.320007,378958900
2017-02-01,132.250000,137.179993,130.300003,135.539993,135.539993,384700500
