Date,Open,High,Low,Close,Adj Close,Volume
1999-07-01,18.000000,20.906250,17.296875,19.500000,13.321143,770137600
1999-08-01,19.406250,24.828125,16.984375,24.023438,16.411266,711766400
1999-09-01,23.437500,24.875000,19.035156,23.648438,16.155098,1178668800
1999-10-01,23.421875,28.296875,22.843750,27.843750,19.021067,764664000
1999-11-01,27.695313,50.765625,27.406250,45.289063,30.938585,1326487200
1999-12-01,45.437500,92.515625,44.375000,88.062500,60.158642,1044077400
2000-01-01,99.625000,100.000000,52.812500,63.500000,43.379124,1098378800
2000-02-01,65.750000,74.000000,60.031250,71.218750,48.652069,680639600
2000-03-01,70.250000,81.281250,61.000000,74.656250,51.000362,743109200
2000-04-01,74.343750,76.375000,46.125000,54.218750,37.038788,736248200
2000-05-01,54.812500,60.000000,30.000000,33.187500,22.671577,939409400
2000-06-01,35.625000,42.156250,28.750000,30.000000,20.494078,1135084600
2000-07-01,29.968750,35.468750,25.750000,32.468750,22.180565,625888800
2000-08-01,32.468750,33.937500,27.406250,29.937500,20.451368,406286400
2000-09-01,30.406250,39.375000,29.000000,35.625000,24.336712,749230000
2000-10-01,36.312500,43.500000,31.562500,32.554688,22.239277,673523400
2000-11-01,31.695313,45.687500,30.500000,40.125000,27.410826,645744000
2000-12-01,41.187500,53.906250,37.125000,41.093750,28.072611,750039000
2001-01-01,40.937500,43.500000,33.875000,42.031250,28.713058,657276600
2001-02-01,41.562500,44.687500,25.062500,27.406250,18.722198,725867400
2001-03-01,27.562500,33.234375,23.625000,28.312500,19.341286,878145000
2001-04-01,27.750000,33.250000,21.375000,28.680000,19.592337,786441400
2001-05-01,28.360001,35.520000,27.600000,30.370001,20.746826,501794200
2001-06-01,30.625000,32.764999,23.990000,29.240000,19.974890,448537800
2001-07-01,28.770000,33.970001,27.610001,31.615000,21.597342,547380000
2001-08-01,32.105000,34.435001,29.014999,29.424999,20.101278,479530800
2001-09-01,29.375000,29.500000,21.299999,23.770000,16.238136,585614800
2001-10-01,23.625000,28.500000,19.155001,24.559999,16.777819,970498800
2001-11-01,24.969999,31.245001,24.500000,29.360001,20.056864,633468600
2001-12-01,29.075001,31.125000,24.684999,25.250000,17.249178,442133000
2002-01-01,25.485001,26.670000,20.629999,22.025000,15.046062,710850800
2002-02-01,21.920000,21.995001,15.515000,16.625000,11.357134,744891200
2002-03-01,16.900000,22.325001,16.740000,18.820000,12.856617,519217800
2002-04-01,18.549999,20.174999,14.280000,15.080000,10.301695,603103000
2002-05-01,14.880000,16.980000,12.315000,15.820000,10.807213,660463600
2002-06-01,16.230000,17.000000,12.245000,13.745000,9.389702,762069600
2002-07-01,13.625000,15.695000,12.120000,13.740000,9.386287,714083200
2002-08-01,12.875000,15.340000,11.605000,13.855000,9.464845,532891800
2002-09-01,13.695000,15.535000,12.550000,13.810000,9.434103,610756400
2002-10-01,14.100000,18.549999,13.665000,17.260000,11.790929,834662800
2002-11-01,17.025000,21.000000,16.450001,20.610001,14.079430,681686600
2002-12-01,21.000000,21.445000,17.915001,18.195000,12.429654,502161800
2003-01-01,18.309999,19.955000,17.700001,18.830000,12.863451,596698800
2003-02-01,18.844999,19.379999,16.315001,17.290001,11.811419,596328400
2003-03-01,17.459999,19.975000,16.719999,18.000000,12.296448,578553400
2003-04-01,18.250000,18.320000,15.330000,15.940000,10.904975,689866600
2003-05-01,15.970000,16.910000,14.790000,16.775000,11.476222,615555000
2003-06-01,16.945000,19.090000,16.275000,17.969999,12.313134,550365000
2003-07-01,17.725000,19.990000,17.165001,18.740000,12.840735,470635000
2003-08-01,18.730000,20.795000,17.565001,20.665001,14.159757,425927600
2003-09-01,20.594999,23.025000,20.080000,20.834999,14.301516,483666400
2003-10-01,20.980000,24.299999,20.500000,23.745001,16.299000,386964800
2003-11-01,23.745001,24.340000,21.805000,22.275000,15.289963,319140200
2003-12-01,22.455000,27.424999,22.135000,26.965000,18.537983,436479600
2004-01-01,27.010000,30.365000,26.665001,29.305000,20.146698,385494600
2004-02-01,29.184999,32.000000,27.805000,31.545000,21.686659,329524200
2004-03-01,31.719999,33.485001,30.600000,33.145000,22.812775,460021200
2004-04-01,32.750000,34.689999,31.035000,31.230000,21.494728,359217000
2004-05-01,31.275000,33.625000,30.900000,33.535000,23.081202,357693400
2004-06-01,33.240002,36.665001,32.365002,36.490002,25.152639,394253600
2004-07-01,36.705002,36.750000,33.700001,34.605000,23.853304,389683200
2004-08-01,34.939999,38.849998,33.660000,38.049999,26.227943,322707400
2004-09-01,37.410000,41.169998,37.360001,39.040001,26.960012,307109000
2004-10-01,39.400002,44.410000,38.680000,41.599998,28.727875,263790100
2004-11-01,41.000000,42.279999,37.770000,41.619999,28.741695,301627900
2004-12-01,41.680000,44.990002,41.650002,42.400002,29.280333,274567700
2005-01-01,42.700001,43.709999,35.639999,37.240002,25.758425,352095300
2005-02-01,37.139999,37.720001,33.990002,36.049999,24.935318,293193600
2005-03-01,36.209999,38.540001,35.220001,36.630001,25.387955,365073500
2005-04-01,36.630001,36.740002,32.080002,34.889999,24.181963,380708600
2005-05-01,34.840000,37.750000,34.520000,37.270000,25.831528,233196600
2005-06-01,37.009998,38.520000,33.000000,33.009998,22.934597,282365600
2005-07-01,33.240002,40.270000,32.980000,39.480000,27.429810,299937200
2005-08-01,39.240002,41.730000,38.610001,39.709999,27.589603,242949500
2005-09-01,39.470001,45.049999,39.430000,44.750000,31.160887,289816200
2005-10-01,44.980000,46.279999,39.020000,39.759998,27.686178,373917400
2005-11-01,39.860001,46.509998,39.080002,45.470001,31.662247,324816000
2005-12-01,45.169998,46.599998,42.980000,43.080002,29.998014,255558700
2006-01-01,43.250000,49.450001,42.910000,47.959999,33.462734,308856200
2006-02-01,47.330002,48.880001,45.080002,47.160000,32.904560,217107100
2006-03-01,47.230000,51.750000,46.790001,50.610001,35.379539,328250200
2006-04-01,51.139999,52.580002,50.630001,51.340000,35.889854,212823500
2006-05-01,51.459999,53.009998,44.099998,45.209999,31.604603,324366300
2006-06-01,45.200001,47.770000,38.540001,40.070000,28.085703,450339000
2006-07-01,39.470001,39.720001,33.939999,35.259998,24.714293,354560800
2006-08-01,34.919998,38.500000,32.759998,37.669998,26.403494,326611400
2006-09-01,38.330002,39.490002,35.990002,36.349998,25.560057,358602600
2006-10-01,36.110001,40.000000,34.099998,36.389999,25.588182,389409000
2006-11-01,36.799999,38.400002,34.349998,36.590000,25.728815,387611200
2006-12-01,36.500000,40.990002,35.799999,37.790001,26.572626,344018000
2007-01-01,37.759998,39.959999,36.790001,37.660000,26.566217,370903000
2007-02-01,37.799999,43.610001,37.000000,40.299999,28.428537,460870300
2007-03-01,39.560001,44.119999,39.040001,42.660000,30.183325,474542000
2007-04-01,42.680000,46.330002,41.599998,43.799999,30.989908,324762400
2007-05-01,44.009998,47.720001,42.139999,42.950001,30.388498,424282800
2007-06-01,43.529999,43.990002,40.980000,43.389999,30.797199,409815600
2007-07-01,43.599998,45.580002,41.270000,41.650002,29.562176,405505600
2007-08-01,41.520000,42.349998,35.230000,39.889999,28.312960,563697300
2007-09-01,39.900002,43.060001,36.680000,42.259998,30.106440,364964300
2007-10-01,42.049999,43.400002,40.049999,42.730000,30.441267,366864000
2007-11-01,42.259998,42.700001,36.599998,40.779999,29.052073,464896700
2007-12-01,40.619999,41.570000,37.750000,39.349998,28.033316,296516800
2008-01-01,38.230000,42.660000,35.169998,42.419998,30.328291,558692000
2008-02-01,42.270000,44.849998,38.950001,42.389999,30.306854,381698000
2008-03-01,42.009998,42.119999,36.910000,41.000000,29.407410,411079300
2008-04-01,41.250000,44.009998,40.650002,43.189999,30.978182,355046600
2008-05-01,43.200001,49.500000,42.830002,48.540001,34.815506,375340100
2008-06-01,48.610001,50.820000,44.340000,44.369999,31.929127,510431500
2008-07-01,44.150002,56.000000,42.689999,55.340000,39.823257,639374400
2008-08-01,55.490002,56.880001,52.220001,52.650002,37.887512,335477400
2008-09-01,53.310001,53.540001,37.820000,42.970001,31.014423,575805500
2008-10-01,42.790001,43.240002,32.209999,38.259998,27.614891,696842500
2008-11-01,38.209999,38.880001,28.160000,33.570000,24.229794,493757600
2008-12-01,32.669998,36.380001,29.340000,35.830002,25.860996,416690600
2009-01-01,35.650002,37.709999,33.290001,34.549999,25.056692,427386600
2009-02-01,34.160000,36.900002,32.669998,33.430000,24.244436,441853700
2009-03-01,32.930000,39.700001,32.639999,38.910000,28.350216,524996000
2009-04-01,38.270000,44.590000,38.060001,42.320000,30.834776,426584500
2009-05-01,42.310001,44.209999,39.849998,43.590000,31.760122,323523300
2009-06-01,44.099998,46.730000,42.849998,45.200001,33.063007,404673800
2009-07-01,45.369999,48.720001,42.669998,46.209999,33.801804,380797100
2009-08-01,46.669998,48.200001,44.639999,46.419998,33.955414,289107200
2009-09-01,46.040001,46.750000,44.000000,44.980000,33.021542,378933300
2009-10-01,44.610001,44.639999,40.150002,41.330002,30.341949,460557600
2009-11-01,41.349998,46.250000,41.080002,45.000000,33.036236,297577100
2009-12-01,45.000000,46.990002,44.049999,46.259998,34.089752,242574100
2010-01-01,46.790001,49.799999,38.490002,39.189999,28.879747,573440200
2010-02-01,39.250000,39.970001,36.470001,36.680000,27.030094,611008200
2010-03-01,36.820000,43.840000,35.459999,41.959999,31.058010,656161500
2010-04-01,42.169998,43.389999,37.779999,38.680000,28.630199,515748800
2010-05-01,38.910000,39.049999,34.520000,35.560001,26.320847,456356500
2010-06-01,35.450001,36.810001,32.730000,32.840000,24.437941,436026500
2010-07-01,32.790001,39.660000,31.629999,38.080002,28.337303,464414400
2010-08-01,38.330002,40.000000,37.450001,38.299999,28.501009,351828600
2010-09-01,38.959999,45.750000,38.919998,45.130001,33.752144,389606700
2010-10-01,45.509998,45.630001,42.450001,45.160000,33.774578,311684400
2010-11-01,45.520000,49.450001,44.619999,46.820000,35.016071,382881200
2010-12-01,47.320000,50.310001,47.299999,49.490002,37.160145,226519300
2011-01-01,49.889999,55.000000,49.590000,54.130001,40.644154,358451100
2011-02-01,54.299999,59.799999,53.810001,59.580002,44.736343,281260100
2011-03-01,59.840000,59.840000,50.099998,54.830002,41.304504,423496600
2011-04-01,55.070000,58.459999,51.450001,57.090000,43.007000,294357800
2011-05-01,57.439999,58.590000,55.419998,58.590000,44.136971,244854300
2011-06-01,58.430000,58.950001,52.130001,56.790001,42.944988,285193300
2011-07-01,56.790001,59.480000,54.060001,54.779999,41.425014,310773300
2011-08-01,55.340000,55.439999,45.980000,51.459999,38.914394,459187100
2011-09-01,51.919998,54.299999,47.599998,48.630001,36.939571,355294800
2011-10-01,48.209999,55.029999,46.400002,51.599998,39.195618,332568800
2011-11-01,49.919998,57.970001,49.779999,54.799999,41.626331,368909400
2011-12-01,54.700001,55.730000,51.759998,54.700001,41.711475,231717500
2012-01-01,55.880001,59.500000,54.560001,58.820000,44.853168,260814400
2012-02-01,59.480000,63.810001,58.790001,62.180000,47.415356,267610000
2012-03-01,62.209999,68.870003,60.930000,68.059998,52.077766,248342900
2012-04-01,68.250000,68.830002,61.259998,63.830002,48.841087,309262200
2012-05-01,63.820000,64.720001,55.720001,57.310001,43.852150,287894400
2012-06-01,55.970001,59.689999,53.410000,55.680000,42.788116,302112200
2012-07-01,55.650002,60.189999,53.090000,59.680000,45.861988,253532600
2012-08-01,60.090000,63.340000,58.160000,61.459999,47.229828,192029200
2012-09-01,61.200001,65.449997,60.279999,62.470001,48.005981,214726500
2012-10-01,62.730000,63.750000,57.290001,58.610001,45.225647,231781400
2012-11-01,58.709999,63.810001,58.110001,63.619999,49.091553,266322600
2012-12-01,63.910000,64.720001,59.439999,61.860001,47.733463,249965500
2013-01-01,63.580002,67.440002,62.330002,66.019997,51.144924,267972300
2013-02-01,66.400002,67.449997,64.320000,65.639999,50.850544,209187100
2013-03-01,65.339996,68.500000,63.400002,66.940002,51.857643,218642700
2013-04-01,66.699997,67.650002,61.250000,61.599998,47.896969,327015000
2013-05-01,61.430000,66.669998,61.430000,63.480000,49.358761,255376600
2013-06-01,63.369999,64.040001,59.459999,61.090000,47.500423,301951000
2013-07-01,61.490002,65.190002,59.020000,64.559998,50.476814,314058800
2013-08-01,64.779999,67.449997,64.309998,66.279999,51.821621,221520500
2013-09-01,66.919998,70.370003,66.519997,67.320000,52.912369,237329200
2013-10-01,67.400002,69.980003,65.470001,69.489998,54.617954,189057500
2013-11-01,69.529999,73.889999,66.250000,73.580002,57.832611,263683800
2013-12-01,73.529999,74.320000,71.680000,74.250000,58.637890,173783100
2014-01-01,73.610001,75.900002,70.980003,74.220001,58.614185,226240200
2014-02-01,73.669998,76.750000,72.029999,75.290001,59.459198,174516600
2014-03-01,74.620003,79.720001,73.040001,78.860001,62.278572,216723600
2014-04-01,79.419998,81.660004,76.769997,78.709999,62.450420,211047700
2014-05-01,78.529999,80.989998,78.430000,80.449997,63.830986,155682300
2014-06-01,80.660004,80.790001,77.910004,79.199997,62.839207,165763200
2014-07-01,79.349998,81.970001,73.650002,73.720001,58.798183,218582300
2014-08-01,73.669998,77.309998,71.820000,76.099998,60.696457,174438100
2014-09-01,75.919998,77.000000,74.110001,74.769997,59.965580,169942600
2014-10-01,74.639999,78.529999,69.360001,78.510002,62.965073,202994300
2014-11-01,78.309998,78.529999,67.669998,72.900002,58.465843,276346900
2014-12-01,72.459999,75.720001,69.589996,74.330002,59.961166,200659800
2015-01-01,74.510002,75.300003,62.389999,62.459999,50.385765,275059800
2015-02-01,62.490002,72.570000,62.259998,72.510002,58.492981,243792600
2015-03-01,71.800003,74.089996,65.680000,69.339996,55.935780,278695100
2015-04-01,68.470001,71.900002,66.180000,68.000000,55.174408,265601600
2015-05-01,68.309998,71.320000,67.500000,69.680000,56.537544,216503600
2015-06-01,69.510002,70.050003,62.450001,62.630001,50.817265,251772700
2015-07-01,63.099998,66.050003,60.830002,64.389999,52.607689,305330200
2015-08-01,64.349998,64.820000,52.590000,56.580002,46.226807,304479200
2015-09-01,55.250000,56.759998,52.169998,53.730000,44.268162,244619500
2015-10-01,53.599998,61.189999,53.000000,59.419998,48.956158,206115300
2015-11-01,59.700001,61.180000,47.520000,48.790001,40.198090,338781400
2015-12-01,48.750000,53.439999,45.930000,49.990002,41.593391,350968200
2016-01-01,49.430000,50.599998,43.470001,45.340000,37.724426,292170300
2016-02-01,44.709999,52.000000,42.240002,50.790001,42.259018,255057600
2016-03-01,51.080002,53.520000,49.669998,51.139999,42.949615,259198400
2016-04-01,51.080002,53.279999,49.730000,50.520000,42.428902,190898700
2016-05-01,50.689999,56.270000,50.130001,54.919998,46.124214,196181900
2016-06-01,54.500000,55.570000,50.840000,53.570000,45.422325,210703100
2016-07-01,52.990002,62.820000,51.160000,62.580002,53.061962,205890700
2016-08-01,62.369999,63.689999,60.020000,63.070000,53.477432,160486600
2016-09-01,62.869999,70.400002,59.930000,68.500000,58.574570,221603700
2016-10-01,68.080002,71.620003,64.300003,68.720001,58.762699,218422000
2016-11-01,69.000000,69.349998,64.320000,68.129997,58.258175,202069400
2016-12-01,67.720001,70.239998,63.779999,65.199997,56.188805,157341000
2017-01-01,65.860001,67.080002,52.830002,53.430000,46.045521,382359000
2017-02-01,53.639999,57.310001,52.369999,56.480000,48.673977,213744100
2017-03-01,56.930000,59.040001,56.000000,57.340000,49.877110,195223400
2017-04-01,57.259998,57.529999,51.049999,53.740002,46.745659,246460200
2017-05-01,53.650002,59.889999,52.900002,57.270000,49.816216,261377900
2017-06-01,57.450001,59.049999,54.549999,55.220001,48.506062,194828100
2017-07-01,55.529999,56.939999,52.230000,53.189999,46.722874,175178800
2017-08-01,53.299999,54.099998,51.279999,52.270000,45.914745,180627700
2017-09-01,52.529999,52.770000,48.919998,51.840000,46.041420,168220900
2017-10-01,52.090000,54.770000,50.020000,51.009998,45.304256,176751700
2017-11-01,51.470001,69.279999,50.509998,66.339996,58.919502,434567900
2017-12-01,65.199997,66.120003,63.799999,64.019997,57.338661,169187300
2018-01-01,64.379997,68.900002,64.169998,68.250000,61.127197,181601100
2018-02-01,67.000000,68.349998,60.500000,65.000000,58.216385,311057400
2018-03-01,65.029999,66.239998,53.650002,55.410000,50.053181,320661200
2018-04-01,55.099998,56.790001,48.560001,51.009998,46.078556,207468300
2018-05-01,50.759998,60.000000,49.310001,58.119999,52.501186,237099800
2018-06-01,58.340000,62.650002,55.090000,56.119999,51.224205,188075700
2018-07-01,55.400002,64.660004,55.119999,64.089996,58.498917,208751100
2018-08-01,63.549999,70.489998,63.549999,68.709999,62.715870,265339500
2018-09-01,68.739998,76.500000,68.709999,72.029999,65.746254,290784100
2018-10-01,72.459999,73.910004,61.180000,62.889999,57.926308,341624700
2018-11-01,63.200001,64.339996,53.529999,58.259998,53.661728,396206800
2018-12-01,60.509998,60.509998,53.509998,56.910000,52.418282,308069000
2019-01-01,56.200001,58.169998,49.099998,49.520000,46.106724,381565000
2019-02-01,49.580002,53.970001,49.400002,53.389999,49.709969,242230300
2019-03-01,54.000000,58.389999,53.029999,57.029999,53.099068,261437100
2019-04-01,57.639999,88.629997,55.790001,86.129997,81.125763,618272400
2019-05-01,87.169998,90.339996,64.760002,66.820000,62.937698,492653200
2019-06-01,67.089996,76.440002,65.830002,76.070000,71.650269,250977300
2019-07-01,80.669998,80.760002,72.760002,73.160004,69.539207,241910800
2019-08-01,68.879997,79.099998,67.120003,77.769997,73.921051,235386600
2019-09-01,76.769997,80.440002,74.629997,76.279999,72.504784,127860300
2019-10-01,77.059998,83.129997,72.809998,80.440002,77.065956,134509300
2019-11-01,81.589996,94.110001,81.250000,83.550003,80.045509,232426900
2019-12-01,83.980003,90.459999,79.809998,88.230003,84.529205,170341600
2020-01-01,89.050003,96.169998,85.040001,85.309998,82.365425,202806800
2020-02-01,85.550003,92.440002,73.339996,78.300003,75.597389,220308800
