Date,Open,High,Low,Close,Adj Close,Volume
1999-07-01,30.375000,39.562500,29.500000,38.437500,30.204002,237813400
1999-08-01,38.312500,42.468750,37.375000,41.593750,32.684162,202150800
1999-09-01,41.562500,44.625000,38.187500,40.750000,32.021145,171810400
1999-10-01,40.718750,45.031250,37.000000,39.875000,31.333582,215454200
1999-11-01,40.250000,50.062500,39.218750,45.562500,35.802784,199595800
1999-12-01,45.000000,66.437500,42.625000,60.062500,47.196812,165667400
2000-01-01,70.000000,76.500000,57.687500,63.687500,50.045322,249637000
2000-02-01,64.750000,75.000000,61.500000,68.187500,53.581387,197030800
2000-03-01,67.000000,67.875000,51.062500,61.375000,48.228180,353739500
2000-04-01,61.000000,64.375000,50.000000,56.000000,44.004520,215305700
2000-05-01,57.000000,65.187500,52.875000,63.625000,49.996220,147977200
2000-06-01,63.937500,70.875000,60.000000,70.250000,55.202103,141961800
2000-07-01,69.687500,80.437500,64.750000,64.937500,51.027569,161431700
2000-08-01,65.312500,76.625000,65.000000,75.812500,59.573074,132864800
2000-09-01,76.562500,76.625000,64.125000,69.828125,54.870598,150337500
2000-10-01,70.312500,72.625000,51.390625,57.937500,45.526989,203748500
2000-11-01,58.312500,69.125000,57.687500,63.625000,49.996220,159921500
2000-12-01,65.187500,70.750000,58.000000,63.937500,50.241783,140520800
2001-01-01,65.875000,72.375000,54.250000,70.312500,55.251209,249693200
2001-02-01,69.812500,75.062500,67.875000,72.062500,56.626358,161677800
2001-03-01,71.687500,74.125000,45.437500,60.187500,47.295048,268856100
2001-04-01,59.375000,62.250000,50.310001,61.139999,48.043507,241695100
2001-05-01,61.009998,67.599998,57.000000,66.379997,52.161079,164791500
2001-06-01,66.669998,70.599998,59.500000,60.680000,47.682041,159587600
2001-07-01,61.700001,63.400002,53.459999,62.709999,49.277203,180682200
2001-08-01,63.099998,65.599998,58.299999,64.300003,50.526630,147304600
2001-09-01,63.799999,66.250000,54.810001,58.770000,46.181175,175913400
2001-10-01,58.740002,63.180000,55.150002,56.820000,44.648872,202266800
2001-11-01,57.389999,67.419998,55.259998,66.430000,52.200371,195020000
2001-12-01,65.889999,69.000000,55.209999,56.439999,44.350281,291304400
2002-01-01,56.900002,58.849998,53.279999,55.500000,43.611618,246841300
2002-02-01,57.599998,59.950001,55.799999,57.980000,45.560394,210091200
2002-03-01,58.169998,62.939999,57.009998,59.680000,46.896244,178321700
2002-04-01,59.430000,61.480000,50.950001,52.880001,41.552841,228755600
2002-05-01,52.820000,52.990002,45.430000,47.630001,37.427418,281297700
2002-06-01,47.470001,48.279999,36.730000,41.880001,32.909111,368984100
2002-07-01,41.450001,46.650002,30.570000,45.639999,35.863697,501721000
2002-08-01,45.790001,48.919998,41.980000,45.029999,35.384354,287418500
2002-09-01,44.939999,47.090000,39.119999,41.700001,32.767647,295894000
2002-10-01,42.110001,52.000000,41.980000,46.560001,36.586620,414414900
2002-11-01,46.700001,50.360001,43.900002,47.200001,37.089535,299496500
2002-12-01,48.910000,53.020000,46.560001,48.340000,37.985332,293776400
2003-01-01,48.340000,53.700001,48.090000,50.959999,40.044121,287503700
2003-02-01,51.060001,54.700001,50.700001,54.639999,42.935841,203302200
2003-03-01,54.750000,59.060001,53.580002,57.549999,45.222507,239294000
2003-04-01,57.919998,64.449997,56.900002,61.299999,48.169231,226554800
2003-05-01,61.270000,64.900002,59.349998,64.739998,50.872356,223201700
2003-06-01,65.040001,67.540001,62.450001,65.940002,51.815338,211576600
2003-07-01,65.489998,72.370003,64.709999,69.430000,54.557751,191832300
2003-08-01,69.330002,69.820000,64.550003,65.940002,51.815338,139621500
2003-09-01,65.910004,70.139999,63.610001,64.519997,50.699501,179144500
2003-10-01,64.879997,67.500000,59.029999,61.759998,48.530708,249375800
