Date,Open,High,Low,Close,Adj Close,Volume
1999-07-01,10.343750,11.703125,10.101563,10.718750,10.634024,122204800
1999-08-01,10.671875,13.156250,10.312500,12.453125,12.354690,180070400
1999-09-01,12.632813,14.335938,11.882813,14.187500,14.075355,204444000
1999-10-01,14.171875,17.562500,13.796875,17.484375,17.354193,155488400
1999-11-01,17.718750,19.750000,16.781250,17.171875,17.044018,133902800
1999-12-01,16.968750,17.968750,14.968750,16.812500,16.687319,235943200
2000-01-01,16.812500,16.875000,13.359375,13.765625,13.668241,154790400
2000-02-01,13.968750,26.656250,13.781250,25.500000,25.319607,197750000
2000-03-01,25.554688,29.000000,19.250000,27.828125,27.631260,254780000
2000-04-01,28.273438,31.968750,22.062500,30.234375,30.027845,203867200
2000-05-01,30.546875,32.750000,25.406250,28.140625,27.948395,177685600
2000-06-01,28.960938,33.000000,28.062500,32.500000,32.277996,177846400
2000-07-01,32.250000,35.828125,25.750000,28.625000,28.435181,122200000
2000-08-01,29.375000,33.375000,27.000000,32.500000,32.284481,94094800
2000-09-01,33.234375,40.500000,30.375000,38.812500,38.555130,188908800
2000-10-01,39.335938,42.546875,30.734375,38.031250,37.785423,221113800
2000-11-01,37.625000,43.656250,31.125000,31.687500,31.482685,158851400
2000-12-01,33.000000,38.781250,28.250000,29.093750,28.905699,183635000
2001-01-01,29.187500,30.812500,21.187500,21.843750,21.702560,243784800
2001-02-01,22.218750,23.218750,13.296875,14.531250,14.440552,290014600
2001-03-01,14.437500,18.968750,12.281250,17.485001,17.375864,261096200
2001-04-01,17.559999,24.400000,14.730000,22.459999,22.328726,214509000
2001-05-01,21.830000,23.870001,18.875000,19.885000,19.768778,152148600
2001-06-01,20.100000,24.065001,18.900000,23.500000,23.362648,169421000
2001-07-01,23.450001,23.920000,18.730000,18.745001,18.640787,188806400
2001-08-01,18.959999,19.775000,15.610000,16.805000,16.711573,162557600
2001-09-01,16.700001,17.155001,11.100000,11.990000,11.923343,163922400
2001-10-01,11.975000,16.950001,11.630000,13.200000,13.133196,223288400
2001-11-01,13.225000,17.495001,13.100000,16.040001,15.958825,154645800
2001-12-01,15.955000,18.799999,15.000000,15.525000,15.446428,150719400
2002-01-01,15.570000,19.600000,15.095000,16.850000,16.771484,158035200
2002-02-01,17.549999,19.215000,16.510000,18.190001,18.105240,123735400
2002-03-01,18.424999,20.684999,18.205000,20.145000,20.051130,139779400
2002-04-01,19.920000,20.495001,18.020000,19.980000,19.893616,155333800
2002-05-01,20.100000,21.660000,17.525000,18.049999,17.971958,195149200
2002-06-01,18.004999,19.514999,13.030000,14.250000,14.188389,253536200
2002-07-01,14.305000,14.490000,11.515000,11.980000,11.933784,176212000
2002-08-01,9.170000,10.625000,8.245000,10.050000,10.011230,184005000
2002-09-01,9.815000,10.505000,9.080000,9.550000,9.513159,137722400
2002-10-01,9.555000,12.820000,8.855000,11.820000,11.782205,189738600
2002-11-01,11.765000,15.260000,11.535000,14.765000,14.717787,139958400
2002-12-01,15.275000,15.540000,12.135000,12.400000,12.360351,137321400
2003-01-01,12.500000,14.670000,12.285000,13.210000,13.167758,119302000
